HRB,N/A,"H&R Block, Inc. Common Stock",N/A,4.37B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.68%,N/A,3080400,N/A,2692430
BA,N/A,Boeing Company (The) Common Sto,N/A,101.19B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.34%,N/A,3138026,N/A,3392640
BWA,N/A,BorgWarner Inc. Common Stock,N/A,8.74B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.49%,N/A,1224583,N/A,2369860
BXP,N/A,"Boston Properties, Inc. Common ",N/A,19.88B,N/A,2/1/2017,N/A,4:02pm,N/A,-1.25%,N/A,1004879,N/A,906974
BSX,N/A,Boston Scientific Corporation C,N/A,32.63B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.42%,N/A,13129606,N/A,8378960
BMY,N/A,Bristol-Myers Squibb Company Co,N/A,82.37B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.26%,N/A,16021890,N/A,12225000
BF-B,N/A,Brown Forman Inc Class B Common,N/A,17.32B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.29%,N/A,757435,N/A,927579
CHRW,N/A,"C.H. Robinson Worldwide, Inc.",N/A,10.64B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.25%,N/A,2936117,N/A,1440070
CA,N/A,CA Inc.,N/A,12.94B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.02%,N/A,3398855,N/A,2606640
COG,N/A,Cabot Oil & Gas Corporation Com,N/A,9.66B,N/A,2/1/2017,N/A,4:02pm,N/A,-3.31%,N/A,6129016,N/A,6337250
CPB,N/A,Campbell Soup Company Common St,N/A,19.19B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.42%,N/A,1768419,N/A,1872460
COF,N/A,Capital One Financial Corporati,N/A,42.31B,N/A,2/1/2017,N/A,4:01pm,N/A,+0.14%,N/A,2263068,N/A,3510700
CAH,N/A,"Cardinal Health, Inc. Common St",N/A,24.12B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.52%,N/A,2569333,N/A,2938290
KMX,N/A,CarMax Inc,N/A,12.20B,N/A,2/1/2017,N/A,4:03pm,N/A,-2.28%,N/A,2931719,N/A,2235060
CCL,N/A,Carnival Corporation Common Sto,N/A,40.27B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.16%,N/A,1952068,N/A,3501110
CAT,N/A,"Caterpillar, Inc. Common Stock",N/A,55.72B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.57%,N/A,3582499,N/A,4877180
CBG,N/A,CBRE Group Inc Common Stock Cla,N/A,10.24B,N/A,2/1/2017,N/A,4:01pm,N/A,+0.43%,N/A,1993982,N/A,2298850
CBS,N/A,"CBS Corporation Class B Common ",N/A,27.76B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.17%,N/A,2123243,N/A,4294800
CELG,N/A,Celgene Corporation,N/A,91.02B,N/A,2/1/2017,N/A,4:00pm,N/A,+1.08%,N/A,4674361,N/A,4894590
CNC,N/A,Centene Corporation Common Stoc,N/A,10.97B,N/A,2/1/2017,N/A,4:02pm,N/A,+1.47%,N/A,1866111,N/A,1999310
CNP,N/A,"CenterPoint Energy, Inc (Holdin",N/A,11.17B,N/A,2/1/2017,N/A,4:00pm,N/A,-1.07%,N/A,3624948,N/A,3534050
CTL,N/A,"CenturyLink, Inc. Common Stock",N/A,13.95B,N/A,2/1/2017,N/A,4:01pm,N/A,-1.35%,N/A,8832817,N/A,9150120
CERN,N/A,Cerner Corporation,N/A,18.29B,N/A,2/1/2017,N/A,4:00pm,N/A,+0.28%,N/A,2749030,N/A,3550050
CF,N/A,"CF Industries Holdings, Inc. Co",N/A,8.54B,N/A,2/1/2017,N/A,4:02pm,N/A,+3.80%,N/A,4594791,N/A,6013130
SCHW,N/A,Charles Schwab Corporation (The,N/A,54.80B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.24%,N/A,10398102,N/A,9323750
CHK,N/A,Chesapeake Energy Corporation C,N/A,4.90B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.78%,N/A,33985935,N/A,49168500
CVX,N/A,Chevron Corporation Common Stoc,N/A,209.54B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.31%,N/A,5889321,N/A,6797110
CMG,N/A,"Chipotle Mexican Grill, Inc. Co",N/A,12.17B,N/A,2/1/2017,N/A,4:00pm,N/A,-0.29%,N/A,750592,N/A,1099410
CB,N/A,"D/B/A Chubb Limited New Common ",N/A,59.79B,N/A,2/1/2017,N/A,4:00pm,N/A,-2.29%,N/A,3620606,N/A,1600370
CHD,N/A,"Church & Dwight Company, Inc. C",N/A,11.70B,N/A,2/1/2017,N/A,4:02pm,N/A,+0.07%,N/A,2070875,N/A,2134370
